Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
286,Republican,Conservative,Other,Female,Other,30000-49999,H.S. diploma or less,30-44,South,Disapprove,Obama
287,Democratic,Liberal,Black,Male,Other,30000-49999,H.S. diploma or less,45-64,South,Disapprove,Obama
288,Independent,Liberal,Black,Female,Protestant,50000-74999,College,18-29,South,Disapprove,Obama
289,Independent,Moderate,White,Female,Protestant,100000-149999,College,45-64,South,Disapprove,Obama
290,Republican,Moderate,White,Male,Protestant,50000-74999,College,18-29,Northeast,Disapprove,Obama
291,Republican,Moderate,White,Female,Catholic,150000+,College,18-29,Midwest,Disapprove,Obama
292,Democratic,Conservative,White,Female,Catholic,100000-149999,College,30-44,Northeast,Disapprove,Obama
293,Democratic,Moderate,White,Male,Catholic,150000+,H.S. diploma or less,30-44,South,Approve,Obama
294,Independent,Moderate,White,Male,Catholic,30000-49999,College,30-44,West,Disapprove,Obama
295,Independent,Liberal,Other,Male,Catholic,75000-99999,H.S. diploma or less,30-44,Northeast,Approve,Obama
296,Republican,Moderate,Black,Female,Protestant,30000-49999,H.S. diploma or less,65+,Northeast,Approve,Obama
297,Republican,Liberal,White,Male,Protestant,30000-49999,College,18-29,Northeast,Disapprove,Obama
298,Democratic,Moderate,White,Male,Catholic,30000-49999,College,45-64,South,Approve,Obama
299,Republican,Moderate,Black,Female,Protestant,30000-49999,College,45-64,Northeast,Approve,Obama
300,Republican,Moderate,Black,Female,Protestant,30000-49999,College,45-64,Midwest,Disapprove,Obama
301,Independent,Conservative,Black,Female,Protestant,30000-49999,College,45-64,Midwest,Disapprove,Obama
302,Democratic,Conservative,White,Male,Protestant,50000-74999,College,45-64,Midwest,Disapprove,Obama
303,Republican,Liberal,White,Female,Protestant,Less than 30000,Post-Grad,30-44,West,Disapprove,Obama
304,Democratic,Liberal,White,Female,Protestant,Less than 30000,College,30-44,Midwest,Approve,Obama
305,Democratic,Moderate,White,Female,Catholic,Less than 30000,Post-Grad,30-44,Northeast,Disapprove,Obama
306,Democratic,Moderate,White,Male,Catholic,30000-49999,H.S. diploma or less,30-44,South,Disapprove,Obama
307,Democratic,Conservative,Other,Male,Catholic,30000-49999,Post-Grad,30-44,South,Approve,Obama
308,Democratic,Conservative,White,Female,Other,30000-49999,College,30-44,South,Approve,Obama
309,Republican,Liberal,Black,Male,Catholic,50000-74999,College,45-64,South,Disapprove,Obama
310,Democratic,Moderate,Black,Female,Protestant,50000-74999,College,65+,South,Approve,Obama
311,Democratic,Conservative,Black,Male,Protestant,150000+,College,30-44,Midwest,Disapprove,Obama
312,Republican,Moderate,White,Female,Protestant,150000+,College,45-64,South,Disapprove,McCain
313,Independent,Liberal,White,Female,Protestant,100000-149999,College,30-44,West,Approve,Obama
314,Democratic,Moderate,White,Male,Catholic,30000-49999,College,30-44,Northeast,Disapprove,Obama
315,Republican,Moderate,White,Female,Catholic,30000-49999,Post-Grad,18-29,Midwest,Disapprove,Obama
316,Republican,Liberal,White,Male,Catholic,30000-49999,Post-Grad,18-29,West,Disapprove,Obama
317,Democratic,Conservative,White,Male,Catholic,30000-49999,College,45-64,West,Approve,Obama
318,Democratic,Liberal,White,Male,Catholic,50000-74999,College,65+,South,Disapprove,Obama
319,Republican,Liberal,White,Male,Protestant,100000-149999,H.S. diploma or less,30-44,South,Disapprove,Obama
320,Democratic,Moderate,White,Female,Catholic,50000-74999,H.S. diploma or less,45-64,South,Disapprove,Obama
321,Republican,Moderate,Other,Female,Protestant,150000+,H.S. diploma or less,18-29,South,Disapprove,Obama
322,Independent,Moderate,White,Male,Protestant,75000-99999,College,18-29,South,Disapprove,Obama
323,Democratic,Conservative,Other,Female,Other,75000-99999,College,18-29,South,Approve,Obama
324,Democratic,Conservative,Black,Male,Protestant,Less than 30000,College,18-29,West,Disapprove,Obama
325,Republican,Liberal,Black,Male,Protestant,75000-99999,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
326,Democratic,Conservative,White,Male,Protestant,Less than 30000,Post-Grad,45-64,West,Approve,Obama
327,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,30-44,West,Disapprove,Obama
328,Republican,Moderate,White,Female,Protestant,30000-49999,Post-Grad,45-64,Northeast,Approve,Obama
329,Democratic,Moderate,White,Male,Catholic,50000-74999,College,45-64,South,Approve,Obama
330,Democratic,Moderate,White,Female,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
331,Republican,Conservative,White,Female,Catholic,50000-74999,College,30-44,Midwest,Disapprove,Obama
332,Independent,Liberal,Other,Female,Protestant,150000+,College,45-64,Midwest,Approve,Obama
333,Democratic,Conservative,White,Female,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
334,Republican,Liberal,White,Male,Other,150000+,Post-Grad,30-44,Northeast,Disapprove,Obama
335,Republican,Liberal,White,Male,Protestant,100000-149999,H.S. diploma or less,18-29,South,Disapprove,Obama
336,Independent,Moderate,White,Male,Protestant,30000-49999,Post-Grad,30-44,Midwest,Disapprove,Obama
337,Republican,Moderate,White,Male,Protestant,Less than 30000,College,30-44,West,Disapprove,Obama
338,Independent,Conservative,White,Male,Catholic,30000-49999,College,30-44,West,Disapprove,Obama
339,Democratic,Conservative,White,Female,Catholic,50000-74999,H.S. diploma or less,30-44,Northeast,Approve,Obama
340,Republican,Liberal,White,Female,Catholic,50000-74999,H.S. diploma or less,30-44,West,Disapprove,Obama
341,Independent,Conservative,White,Female,Protestant,50000-74999,College,45-64,Northeast,Disapprove,Obama
342,Republican,Liberal,White,Female,Protestant,150000+,College,18-29,South,Approve,Obama
343,Republican,Moderate,White,Female,Other,75000-99999,College,45-64,Northeast,Disapprove,McCain
344,Democratic,Moderate,White,Female,Other,Less than 30000,College,18-29,Midwest,Disapprove,Obama
345,Republican,Moderate,White,Female,Other,75000-99999,College,18-29,Midwest,Disapprove,Obama
346,Republican,Moderate,Other,Female,Protestant,Less than 30000,College,18-29,Midwest,Disapprove,Obama
347,Democratic,Conservative,White,Female,Protestant,30000-49999,Post-Grad,30-44,Northeast,Approve,Obama
348,Democratic,Conservative,Black,Male,Protestant,30000-49999,Post-Grad,30-44,Midwest,Disapprove,Obama
349,Independent,Moderate,White,Female,Catholic,30000-49999,College,30-44,Northeast,Disapprove,Obama
350,Independent,Liberal,White,Male,Protestant,50000-74999,College,45-64,South,Disapprove,Obama
351,Republican,Moderate,White,Female,Protestant,50000-74999,H.S. diploma or less,45-64,South,Disapprove,Obama
352,Democratic,Moderate,White,Male,Other,100000-149999,College,65+,South,Disapprove,Obama
353,Independent,Conservative,White,Male,Protestant,50000-74999,College,18-29,South,Disapprove,Obama
354,Republican,Conservative,White,Female,Other,100000-149999,College,18-29,South,Disapprove,Obama
355,Independent,Moderate,White,Male,Other,100000-149999,H.S. diploma or less,18-29,West,Disapprove,Obama
356,Democratic,Conservative,White,Female,Other,30000-49999,College,30-44,South,Disapprove,Obama
357,Democratic,Conservative,White,Male,Protestant,30000-49999,H.S. diploma or less,65+,Midwest,Disapprove,McCain
358,Republican,Moderate,White,Female,Protestant,30000-49999,College,30-44,West,Disapprove,Obama
359,Independent,Moderate,White,Male,Protestant,50000-74999,College,18-29,South,Approve,Obama
360,Republican,Moderate,White,Male,Catholic,50000-74999,College,18-29,Midwest,Approve,Obama
361,Democratic,Moderate,Other,Female,Protestant,50000-74999,Post-Grad,45-64,West,Disapprove,Obama
362,Republican,Conservative,White,Male,Catholic,100000-149999,College,30-44,West,Approve,Obama
363,Democratic,Liberal,White,Female,Other,50000-74999,College,45-64,Midwest,Disapprove,Obama
364,Independent,Conservative,White,Male,Catholic,75000-99999,College,45-64,West,Disapprove,Obama
365,Republican,Liberal,White,Female,Catholic,75000-99999,College,45-64,Northeast,Disapprove,McCain
366,Democratic,Liberal,White,Female,Catholic,75000-99999,College,18-29,South,Disapprove,Obama
367,Democratic,Moderate,White,Female,Protestant,Less than 30000,College,65+,Northeast,Disapprove,Obama
368,Republican,Moderate,White,Female,Protestant,100000-149999,Post-Grad,30-44,Northeast,Disapprove,Obama
369,Independent,Conservative,White,Female,Catholic,30000-49999,H.S. diploma or less,30-44,South,Disapprove,Obama
370,Republican,Moderate,White,Female,Protestant,Less than 30000,College,30-44,Midwest,Disapprove,Obama
371,Republican,Conservative,White,Female,Protestant,30000-49999,Post-Grad,30-44,South,Disapprove,Obama
372,Independent,Conservative,White,Female,Protestant,75000-99999,College,45-64,South,Disapprove,Obama
373,Democratic,Liberal,White,Male,Catholic,30000-49999,College,45-64,Midwest,Approve,Obama
374,Republican,Moderate,White,Male,Catholic,100000-149999,College,65+,West,Approve,Obama
375,Independent,Moderate,Black,Male,Catholic,100000-149999,College,45-64,South,Disapprove,Obama
376,Democratic,Moderate,White,Male,Catholic,100000-149999,College,18-29,Midwest,Disapprove,Obama
377,Republican,Moderate,White,Female,Catholic,30000-49999,College,18-29,West,Disapprove,Obama
378,Republican,Conservative,White,Male,Catholic,100000-149999,H.S. diploma or less,65+,Northeast,Approve,McCain
379,Democratic,Liberal,White,Male,Protestant,30000-49999,College,65+,West,Disapprove,Obama
380,Republican,Moderate,White,Female,Other,30000-49999,Post-Grad,65+,Northeast,Disapprove,Obama
381,Republican,Liberal,White,Female,Protestant,30000-49999,College,30-44,Northeast,Approve,Obama
382,Democratic,Moderate,White,Female,Protestant,100000-149999,H.S. diploma or less,30-44,South,Disapprove,Obama
383,Independent,Moderate,White,Male,Protestant,Less than 30000,College,30-44,Northeast,Disapprove,Obama
384,Republican,Moderate,White,Female,Catholic,75000-99999,H.S. diploma or less,45-64,South,Disapprove,McCain
385,Democratic,Conservative,White,Male,Protestant,75000-99999,College,45-64,South,Disapprove,Obama
386,Republican,Moderate,Black,Male,Protestant,75000-99999,H.S. diploma or less,45-64,South,Disapprove,Obama
387,Independent,Conservative,White,Male,Other,Less than 30000,College,65+,South,Disapprove,McCain
388,Democratic,Conservative,White,Male,Protestant,75000-99999,College,65+,Northeast,Disapprove,McCain
389,Democratic,Moderate,White,Female,Other,Less than 30000,Post-Grad,65+,South,Approve,Obama
390,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,65+,Midwest,Approve,Obama
391,Democratic,Moderate,White,Male,Protestant,30000-49999,College,30-44,Midwest,Disapprove,Obama
392,Republican,Moderate,White,Female,Protestant,30000-49999,College,30-44,South,Approve,Obama
393,Democratic,Conservative,White,Male,Protestant,30000-49999,College,30-44,Midwest,Disapprove,Obama
394,Democratic,Conservative,White,Female,Protestant,50000-74999,H.S. diploma or less,45-64,West,Disapprove,Obama
395,Democratic,Conservative,White,Male,Protestant,100000-149999,Post-Grad,45-64,Northeast,Disapprove,Obama
396,Republican,Liberal,White,Female,Protestant,50000-74999,College,65+,West,Disapprove,Obama
397,Independent,Liberal,Other,Male,Protestant,150000+,Post-Grad,18-29,West,Disapprove,Obama
398,Republican,Conservative,White,Male,Other,100000-149999,College,18-29,Northeast,Disapprove,Obama
399,Republican,Moderate,White,Female,Protestant,150000+,College,18-29,South,Disapprove,Obama
400,Democratic,Conservative,White,Male,Protestant,30000-49999,College,30-44,West,Disapprove,Obama
401,Republican,Moderate,White,Female,Protestant,30000-49999,College,30-44,Northeast,Disapprove,Obama
402,Republican,Conservative,White,Male,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
403,Democratic,Liberal,White,Female,Protestant,Less than 30000,College,45-64,Midwest,Approve,Obama
404,Republican,Conservative,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
405,Republican,Moderate,White,Female,Protestant,30000-49999,Post-Grad,45-64,South,Disapprove,Obama
406,Democratic,Moderate,White,Female,Protestant,30000-49999,College,45-64,South,Approve,Obama
407,Democratic,Conservative,White,Male,Protestant,50000-74999,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
408,Republican,Liberal,White,Male,Protestant,100000-149999,College,45-64,South,Disapprove,McCain
409,Democratic,Moderate,White,Male,Catholic,100000-149999,H.S. diploma or less,30-44,South,Disapprove,Obama
410,Democratic,Conservative,White,Male,Protestant,100000-149999,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
411,Independent,Moderate,Black,Male,Protestant,100000-149999,College,30-44,West,Approve,Obama
412,Democratic,Moderate,White,Male,Other,30000-49999,College,45-64,Midwest,Disapprove,Obama
413,Democratic,Moderate,White,Female,Catholic,50000-74999,College,45-64,Midwest,Disapprove,Obama
414,Republican,Conservative,White,Male,Protestant,50000-74999,College,45-64,West,Approve,Obama
415,Democratic,Conservative,White,Female,Protestant,50000-74999,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
416,Democratic,Liberal,White,Female,Protestant,50000-74999,Post-Grad,45-64,West,Disapprove,Obama
417,Republican,Liberal,White,Female,Protestant,50000-74999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
418,Republican,Moderate,Other,Female,Protestant,150000+,College,65+,Northeast,Approve,McCain
419,Democratic,Moderate,White,Female,Protestant,150000+,H.S. diploma or less,65+,South,Approve,Obama
420,Independent,Moderate,White,Female,Protestant,30000-49999,College,65+,Northeast,Disapprove,Obama
421,Republican,Conservative,White,Female,Protestant,100000-149999,College,30-44,South,Approve,Obama
422,Democratic,Moderate,Black,Female,Catholic,30000-49999,Post-Grad,30-44,South,Disapprove,Obama
423,Independent,Conservative,White,Male,Protestant,50000-74999,Post-Grad,30-44,Midwest,Disapprove,Obama
424,Republican,Conservative,White,Male,Catholic,Less than 30000,College,45-64,South,Disapprove,Obama
425,Independent,Liberal,White,Male,Protestant,30000-49999,College,30-44,Midwest,Disapprove,Obama
426,Independent,Liberal,White,Male,Protestant,30000-49999,College,65+,West,Disapprove,Obama
427,Democratic,Moderate,White,Male,Other,30000-49999,College,45-64,Northeast,Disapprove,Obama
428,Republican,Moderate,White,Male,Protestant,100000-149999,College,65+,Midwest,Disapprove,Obama
429,Democratic,Moderate,White,Male,Protestant,100000-149999,H.S. diploma or less,30-44,West,Disapprove,Obama
430,Democratic,Conservative,White,Male,Protestant,100000-149999,College,65+,Northeast,Approve,McCain
431,Republican,Moderate,Black,Male,Protestant,75000-99999,H.S. diploma or less,30-44,South,Disapprove,Obama
432,Independent,Liberal,White,Male,Protestant,Less than 30000,College,30-44,Northeast,Approve,Obama
433,Democratic,Liberal,White,Female,Protestant,30000-49999,College,30-44,Northeast,Disapprove,Obama
434,Republican,Moderate,White,Female,Catholic,30000-49999,College,45-64,Northeast,Approve,Obama
435,Democratic,Moderate,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,Midwest,Approve,Obama
436,Democratic,Moderate,White,Female,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
437,Republican,Conservative,White,Male,Protestant,50000-74999,H.S. diploma or less,45-64,West,Disapprove,Obama
438,Independent,Conservative,White,Female,Other,150000+,H.S. diploma or less,65+,South,Disapprove,McCain
439,Democratic,Moderate,White,Male,Other,100000-149999,College,65+,South,Disapprove,Obama
440,Republican,Moderate,White,Male,Protestant,100000-149999,College,65+,South,Disapprove,Obama
441,Independent,Conservative,White,Male,Protestant,100000-149999,College,30-44,Northeast,Approve,Obama
442,Republican,Conservative,White,Female,Protestant,30000-49999,College,30-44,South,Disapprove,Obama
443,Republican,Liberal,White,Female,Protestant,30000-49999,College,30-44,South,Disapprove,Obama
444,Independent,Conservative,Other,Male,Catholic,Less than 30000,College,30-44,Midwest,Disapprove,Obama
445,Democratic,Moderate,White,Female,Catholic,Less than 30000,H.S. diploma or less,45-64,South,Disapprove,Obama
446,Republican,Moderate,White,Male,Catholic,Less than 30000,Post-Grad,65+,Midwest,Approve,Obama
447,Independent,Conservative,White,Female,Catholic,30000-49999,College,45-64,West,Approve,Obama
448,Independent,Moderate,White,Male,Other,50000-74999,H.S. diploma or less,65+,Northeast,Disapprove,McCain
449,Democratic,Moderate,White,Male,Other,30000-49999,H.S. diploma or less,65+,Midwest,Approve,Obama
450,Democratic,Conservative,White,Female,Protestant,100000-149999,Post-Grad,30-44,West,Disapprove,Obama
451,Independent,Moderate,White,Male,Protestant,100000-149999,College,30-44,Northeast,Approve,Obama
452,Republican,Liberal,White,Male,Other,100000-149999,College,30-44,South,Disapprove,Obama
453,Democratic,Moderate,White,Female,Protestant,Less than 30000,College,30-44,West,Disapprove,Obama
454,Republican,Moderate,Black,Male,Protestant,100000-149999,College,30-44,Northeast,Disapprove,Obama
455,Democratic,Moderate,White,Female,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
456,Republican,Conservative,Other,Female,Protestant,50000-74999,H.S. diploma or less,65+,South,Disapprove,Obama
457,Democratic,Moderate,White,Female,Catholic,30000-49999,H.S. diploma or less,45-64,South,Approve,Obama
458,Republican,Conservative,Other,Female,Catholic,50000-74999,Post-Grad,18-29,South,Approve,Obama
459,Republican,Liberal,White,Female,Catholic,50000-74999,College,45-64,Midwest,Disapprove,Obama
460,Democratic,Liberal,White,Male,Catholic,100000-149999,H.S. diploma or less,18-29,West,Approve,Obama
461,Republican,Moderate,White,Female,Catholic,150000+,College,18-29,South,Disapprove,Obama
462,Republican,Moderate,White,Female,Protestant,100000-149999,College,18-29,Midwest,Disapprove,Obama
463,Democratic,Conservative,White,Male,Other,30000-49999,College,30-44,West,Disapprove,Obama
464,Republican,Moderate,White,Female,Protestant,75000-99999,Post-Grad,30-44,Northeast,Approve,Obama
465,Democratic,Conservative,White,Female,Protestant,Less than 30000,Post-Grad,45-64,West,Disapprove,Obama
466,Democratic,Liberal,White,Female,Protestant,30000-49999,Post-Grad,45-64,Northeast,Disapprove,Obama
467,Republican,Conservative,Other,Male,Protestant,Less than 30000,College,45-64,Northeast,Disapprove,Obama
468,Independent,Liberal,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,South,Approve,Obama
469,Republican,Liberal,Black,Female,Catholic,30000-49999,H.S. diploma or less,45-64,West,Disapprove,Obama
470,Democratic,Moderate,White,Female,Catholic,50000-74999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
471,Democratic,Moderate,White,Female,Catholic,100000-149999,College,30-44,Northeast,Disapprove,Obama
472,Democratic,Conservative,White,Female,Other,50000-74999,College,30-44,South,Disapprove,Obama
473,Democratic,Conservative,White,Female,Protestant,150000+,College,30-44,Northeast,Disapprove,Obama
474,Democratic,Liberal,White,Female,Catholic,100000-149999,College,30-44,South,Approve,Obama
475,Democratic,Moderate,White,Female,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
476,Democratic,Liberal,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
477,Independent,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,South,Approve,Obama
478,Democratic,Liberal,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,Midwest,Approve,Obama
479,Republican,Moderate,Other,Male,Protestant,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
480,Republican,Conservative,Other,Male,Protestant,50000-74999,College,45-64,West,Approve,McCain
481,Democratic,Conservative,White,Male,Protestant,75000-99999,College,18-29,Midwest,Disapprove,Obama
482,Democratic,Conservative,White,Female,Protestant,50000-74999,College,45-64,West,Disapprove,Obama
483,Republican,Liberal,Black,Female,Catholic,150000+,Post-Grad,30-44,Northeast,Approve,Obama
484,Democratic,Moderate,White,Female,Protestant,Less than 30000,College,30-44,Northeast,Disapprove,Obama
485,Democratic,Moderate,White,Female,Catholic,100000-149999,Post-Grad,30-44,West,Disapprove,Obama
486,Independent,Moderate,White,Male,Other,Less than 30000,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
487,Independent,Moderate,White,Female,Protestant,100000-149999,College,45-64,South,Disapprove,Obama
488,Republican,Conservative,Other,Male,Other,30000-49999,H.S. diploma or less,45-64,South,Disapprove,Obama
489,Independent,Conservative,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,South,Disapprove,Obama
490,Democratic,Moderate,White,Male,Protestant,30000-49999,College,18-29,South,Approve,Obama
491,Republican,Liberal,Black,Female,Protestant,50000-74999,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
492,Independent,Moderate,Black,Female,Catholic,50000-74999,College,18-29,West,Disapprove,Obama
493,Democratic,Moderate,White,Male,Catholic,50000-74999,College,30-44,South,Approve,Obama
494,Democratic,Moderate,White,Female,Catholic,150000+,College,18-29,Midwest,Disapprove,Obama
495,Republican,Conservative,White,Male,Protestant,150000+,College,45-64,West,Disapprove,McCain
496,Democratic,Moderate,White,Male,Catholic,150000+,College,45-64,West,Disapprove,Obama
497,Republican,Moderate,White,Female,Catholic,100000-149999,College,30-44,Midwest,Approve,Obama
498,Democratic,Liberal,White,Female,Protestant,30000-49999,H.S. diploma or less,45-64,West,Disapprove,Obama
499,Democratic,Moderate,White,Female,Catholic,50000-74999,H.S. diploma or less,30-44,Northeast,Approve,Obama
500,Democratic,Conservative,White,Male,Protestant,30000-49999,College,65+,South,Disapprove,McCain
501,Democratic,Conservative,White,Male,Protestant,100000-149999,H.S. diploma or less,18-29,West,Disapprove,Obama
502,Democratic,Liberal,White,Female,Protestant,30000-49999,College,65+,West,Disapprove,Obama
503,Republican,Conservative,Other,Male,Protestant,100000-149999,College,30-44,Northeast,Disapprove,Obama
504,Democratic,Liberal,White,Female,Protestant,50000-74999,College,65+,South,Disapprove,Obama
505,Republican,Conservative,Black,Male,Catholic,75000-99999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
506,Independent,Liberal,White,Female,Catholic,Less than 30000,College,30-44,South,Disapprove,Obama
507,Democratic,Conservative,White,Female,Catholic,75000-99999,College,30-44,South,Disapprove,Obama
508,Republican,Moderate,White,Female,Catholic,30000-49999,College,65+,Midwest,Disapprove,Obama
509,Republican,Moderate,White,Female,Protestant,30000-49999,College,30-44,South,Approve,Obama
510,Independent,Moderate,White,Male,Catholic,30000-49999,H.S. diploma or less,65+,Northeast,Approve,Obama
511,Independent,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,65+,South,Disapprove,Obama
512,Democratic,Conservative,Other,Male,Protestant,30000-49999,College,30-44,South,Approve,Obama
513,Republican,Liberal,Other,Male,Protestant,50000-74999,H.S. diploma or less,30-44,Midwest,Approve,Obama
514,Democratic,Conservative,Black,Male,Catholic,150000+,College,30-44,South,Disapprove,Obama
515,Democratic,Moderate,White,Male,Catholic,50000-74999,College,30-44,Midwest,Approve,Obama
516,Republican,Liberal,Black,Female,Catholic,100000-149999,College,18-29,West,Approve,Obama
517,Republican,Moderate,White,Female,Catholic,150000+,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
518,Independent,Conservative,White,Female,Protestant,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
519,Democratic,Conservative,Black,Female,Catholic,30000-49999,College,30-44,West,Disapprove,Obama
520,Democratic,Conservative,White,Female,Protestant,Less than 30000,College,45-64,Northeast,Disapprove,Obama
521,Independent,Conservative,White,Female,Catholic,50000-74999,College,45-64,South,Disapprove,Obama
522,Independent,Liberal,White,Female,Catholic,50000-74999,College,45-64,Northeast,Disapprove,Obama
523,Democratic,Moderate,White,Female,Protestant,50000-74999,College,18-29,South,Disapprove,Obama
524,Republican,Conservative,White,Female,Other,150000+,Post-Grad,45-64,South,Disapprove,McCain
525,Democratic,Liberal,Other,Female,Protestant,30000-49999,College,30-44,Midwest,Approve,Obama
526,Democratic,Conservative,White,Male,Protestant,100000-149999,College,30-44,South,Approve,Obama
527,Democratic,Moderate,Black,Male,Protestant,75000-99999,College,30-44,Midwest,Disapprove,Obama
528,Democratic,Liberal,Black,Male,Protestant,100000-149999,College,45-64,Midwest,Disapprove,Obama
529,Independent,Moderate,White,Male,Catholic,Less than 30000,H.S. diploma or less,45-64,West,Disapprove,Obama
530,Democratic,Conservative,White,Male,Catholic,100000-149999,H.S. diploma or less,45-64,West,Approve,Obama
531,Independent,Moderate,White,Female,Catholic,30000-49999,H.S. diploma or less,45-64,West,Disapprove,Obama
532,Republican,Conservative,White,Female,Catholic,30000-49999,Post-Grad,18-29,Northeast,Approve,Obama
533,Independent,Moderate,White,Male,Catholic,30000-49999,College,30-44,West,Approve,Obama
534,Democratic,Liberal,Other,Female,Protestant,50000-74999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
535,Independent,Liberal,Black,Female,Other,50000-74999,H.S. diploma or less,30-44,South,Approve,Obama
536,Republican,Moderate,Black,Male,Protestant,50000-74999,College,65+,Midwest,Disapprove,Obama
537,Democratic,Moderate,Black,Female,Protestant,150000+,College,18-29,West,Disapprove,Obama
538,Independent,Conservative,White,Male,Protestant,150000+,College,30-44,Northeast,Disapprove,Obama
539,Democratic,Moderate,White,Female,Catholic,30000-49999,Post-Grad,30-44,West,Disapprove,Obama
540,Democratic,Conservative,White,Male,Catholic,150000+,College,45-64,Northeast,Disapprove,Obama
541,Democratic,Liberal,Black,Male,Protestant,30000-49999,Post-Grad,45-64,Northeast,Disapprove,Obama
542,Democratic,Liberal,White,Female,Catholic,50000-74999,Post-Grad,45-64,South,Disapprove,Obama
543,Independent,Moderate,White,Male,Catholic,50000-74999,Post-Grad,18-29,Northeast,Disapprove,Obama
544,Democratic,Liberal,White,Female,Catholic,50000-74999,College,45-64,South,Disapprove,Obama
545,Republican,Moderate,White,Female,Protestant,Less than 30000,College,18-29,South,Approve,Obama
546,Republican,Conservative,White,Male,Catholic,30000-49999,College,30-44,Midwest,Approve,Obama
547,Democratic,Liberal,Black,Female,Protestant,100000-149999,H.S. diploma or less,18-29,South,Disapprove,Obama
548,Republican,Conservative,White,Male,Protestant,75000-99999,College,30-44,Midwest,Approve,Obama
549,Independent,Liberal,White,Female,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
550,Democratic,Conservative,White,Male,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
551,Republican,Liberal,Black,Male,Protestant,30000-49999,Post-Grad,45-64,South,Approve,Obama
552,Republican,Moderate,White,Male,Catholic,30000-49999,College,45-64,Midwest,Disapprove,Obama
553,Democratic,Moderate,Black,Male,Catholic,30000-49999,Post-Grad,45-64,South,Disapprove,Obama
554,Democratic,Moderate,White,Female,Catholic,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
555,Republican,Moderate,White,Male,Catholic,30000-49999,College,30-44,Midwest,Disapprove,Obama
556,Republican,Conservative,White,Female,Other,50000-74999,College,30-44,West,Disapprove,Obama
557,Democratic,Liberal,White,Female,Other,150000+,College,18-29,South,Disapprove,Obama
558,Democratic,Moderate,White,Male,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
559,Republican,Moderate,White,Female,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
560,Independent,Moderate,Black,Male,Protestant,100000-149999,College,30-44,West,Disapprove,Obama
561,Republican,Conservative,Black,Female,Protestant,30000-49999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
562,Republican,Conservative,Black,Male,Catholic,30000-49999,Post-Grad,30-44,West,Disapprove,Obama
563,Independent,Conservative,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
564,Democratic,Liberal,White,Male,Protestant,30000-49999,Post-Grad,65+,Northeast,Disapprove,Obama
565,Republican,Conservative,White,Male,Catholic,Less than 30000,College,45-64,West,Disapprove,Obama
566,Republican,Moderate,White,Female,Catholic,Less than 30000,College,30-44,Northeast,Approve,Obama
567,Democratic,Moderate,White,Male,Protestant,75000-99999,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
568,Democratic,Moderate,White,Female,Protestant,30000-49999,College,30-44,South,Approve,Obama
569,Republican,Moderate,Black,Female,Protestant,100000-149999,H.S. diploma or less,30-44,Northeast,Approve,Obama
570,Independent,Moderate,White,Female,Protestant,75000-99999,College,30-44,South,Disapprove,Obama
571,Independent,Conservative,White,Female,Protestant,75000-99999,College,45-64,Midwest,Approve,McCain
